"Item_Stock_No";"In_Stock";"Item_Reserved_YN";"Shelf_Location";"Platform_Title_Id";"Rental_Fee";"Late_Fee"
"A10001";"1";"N";"A10001";"1";"7.9900";"2.9900"
"A10002";"1";"N";"A10002";"2";"4.9900";"2.9900"
"A10002";"1";"N";"A10002";"3";"4.9900";"2.9900"
"A10002";"1";"N";"A10002";"4";"4.9900";"2.9900"
"A10003";"1";"N";"A10003";"5";"5.9900";"2.9900"
"A10004";"1";"N";"A10004";"6";"7.9900";"2.9900"
"A10004";"1";"N";"A10004";"7";"7.9900";"2.9900"
"A10004";"1";"N";"A10004";"8";"7.9900";"2.9900"
"A10005";"1";"N";"A10005";"9";"4.9900";"2.9900"
"A10006";"1";"N";"A10006";"10";"5.9900";"2.9900"
"A10007";"1";"N";"A10007";"11";"4.9900";"2.9900"
"A10008";"1";"N";"A10008";"12";"5.9900";"2.9900"
"A10009";"1";"N";"A10009";"13";"5.9900";"2.9900"
"A10010";"1";"N";"A10010";"14";"5.9900";"2.9900"
"A10010";"1";"N";"A10010";"15";"5.9900";"2.9900"
"A10011";"1";"N";"A10011";"16";"5.9900";"2.9900"
"A10012";"1";"N";"A10012";"17";"5.9900";"2.9900"
"A10013";"1";"N";"A10013";"18";"5.9900";"2.9900"
"A10014";"1";"N";"A10014";"19";"5.9900";"2.9900"
"A10014";"1";"N";"A10014";"20";"5.9900";"2.9900"
"A10015";"1";"N";"A10015";"21";"5.9900";"2.9900"
"A10016";"1";"N";"A10016";"22";"5.9900";"2.9900"
"A10017";"1";"N";"A10017";"23";"5.9900";"2.9900"
"A10017";"1";"N";"A10017";"24";"5.9900";"2.9900"
"A10018";"1";"N";"A10018";"25";"7.9900";"2.9900"
"A10018";"1";"N";"A10018";"26";"7.9900";"2.9900"
"A10019";"1";"N";"A10019";"27";"5.9900";"2.9900"
"A10020";"1";"N";"A10020";"28";"5.9900";"2.9900"
"A10021";"1";"N";"A10021";"29";"5.9900";"2.9900"
"A10022";"1";"N";"A10022";"30";"7.9900";"2.9900"
"A10022";"1";"N";"A10022";"31";"7.9900";"2.9900"
"A10023";"1";"N";"A10023";"32";"5.9900";"2.9900"
"A10024";"1";"N";"A10024";"33";"7.9900";"2.9900"
"A10025";"1";"N";"A10025";"34";"5.9900";"2.9900"
"A10026";"1";"N";"A10026";"35";"5.9900";"2.9900"
"A10027";"1";"N";"A10027";"36";"5.9900";"2.9900"
"A10028";"1";"N";"A10028";"37";"5.9900";"2.9900"
"A10029";"1";"N";"A10029";"38";"5.9900";"2.9900"
"A10030";"1";"N";"A10030";"39";"5.9900";"2.9900"
"A10031";"1";"N";"A10031";"40";"5.9900";"2.9900"
"A10032";"1";"N";"A10032";"41";"5.9900";"2.9900"
"A10032";"1";"N";"A10032";"42";"5.9900";"2.9900"
"A10033";"1";"N";"A10033";"43";"5.9900";"2.9900"
"A10034";"1";"N";"A10034";"44";"7.9900";"2.9900"
"A10035";"1";"N";"A10035";"45";"5.9900";"2.9900"
"A10035";"1";"N";"A10035";"46";"5.9900";"2.9900"
"A10036";"1";"N";"A10036";"47";"5.9900";"2.9900"
"A10037";"1";"N";"A10037";"48";"4.9900";"2.9900"
"A10037";"1";"N";"A10037";"49";"4.9900";"2.9900"
"A10037";"1";"N";"A10037";"50";"4.9900";"2.9900"
"A10038";"1";"N";"A10038";"51";"4.9900";"2.9900"
"A10038";"1";"N";"A10038";"52";"4.9900";"2.9900"
"A10039";"1";"N";"A10039";"53";"7.9900";"2.9900"
"A10039";"1";"N";"A10039";"54";"7.9900";"2.9900"
"A10040";"1";"N";"A10040";"55";"5.9900";"2.9900"
"A10041";"1";"N";"A10041";"56";"5.9900";"2.9900"
"A10042";"1";"N";"A10042";"57";"5.9900";"2.9900"
"A10043";"1";"N";"A10043";"58";"5.9900";"2.9900"
"A10043";"1";"N";"A10043";"59";"5.9900";"2.9900"
